,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
267,Mizan Teferi,98,ET,1563590224,89,6.99,35.58,61.99,2.59
268,Plettenberg Bay,98,ZA,1563590224,81,-34.05,23.37,47.41,12.71
269,Lishui,1,CN,1563590224,57,28.45,119.91,92.23,0.67
270,Manokwari,2,ID,1563590225,71,-0.87,134.08,80.35,5.57
271,San Cristobal,9,HN,1563590225,90,14.68,-86.92,66.49,3.85
272,Angoche,0,MZ,1563590226,94,-16.23,39.91,63.25,4.18
273,Emirdag,0,TR,1563590226,69,39.02,31.15,59.29,3.69
274,Ciudad del Maiz,0,MX,1563590134,71,22.4,-99.6,72.43,7.25
275,Kununurra,0,AU,1563590227,18,-15.77,128.74,84.2,3.36
276,Faanui,10,PF,1563590227,79,-16.48,-151.75,76.39,19.06
277,Belyy Yar,40,RU,1563590228,93,53.6,91.39,62.6,6.71
278,Tuy Hoa,100,VN,1563590228,47,13.08,109.3,91.69,9.17
279,Port Augusta,0,AU,1563590228,29,-32.49,137.76,66.2,20.8
280,Zyryanka,100,RU,1563590229,47,65.73,150.89,53.17,10.02
281,Karatau,0,KZ,1563590229,24,43.18,70.46,85.03,17.4
282,Baghmara,0,IN,1563590230,65,23.8,86.21,85.39,6.82
283,Maceio,75,BR,1563590230,94,-9.67,-35.74,71.6,8.05
284,Mandal,0,MN,1563590230,69,48.82,106.5,69.01,3.36
285,Long Beach,75,US,1563590231,74,30.35,-89.15,86.0,8.05
286,Sinnamary,80,GF,1563590232,79,5.38,-52.96,80.71,10.2
287,Shaoyang,98,CN,1563590232,83,27.23,111.45,82.69,2.39
288,Snasa,15,NO,1563590233,94,64.25,12.38,49.75,1.52
289,Adrar,83,DZ,1563590233,14,27.87,-0.29,96.8,14.99
290,Bathsheba,40,BB,1563590233,78,13.22,-59.52,80.6,12.75
291,Ciudad Bolivar,53,VE,1563590205,87,8.12,-63.55,77.47,8.93
292,Yangambi,100,CD,1563590234,97,0.77,24.47,70.27,2.26
293,Kaduqli,100,SD,1563590234,81,11.01,29.72,74.23,2.84
294,Qazvin,0,IR,1563590235,72,36.28,50.01,64.4,10.0
295,Kawalu,100,ID,1563590236,91,-7.38,108.21,70.45,4.05
296,Alice Springs,35,AU,1563589982,14,-23.7,133.88,71.6,12.75
297,Port Lincoln,0,AU,1563590236,57,-34.72,135.86,61.99,28.88
298,Waddan,0,LY,1563590237,73,29.16,16.14,69.91,12.17
299,Rocha,0,UY,1563590237,94,-34.48,-54.34,53.89,4.74
300,Kutum,20,SD,1563590153,60,14.2,24.66,76.21,7.31
301,Aleysk,57,RU,1563590238,74,52.5,82.77,67.03,4.59
302,Along,14,IN,1563590238,67,28.17,94.8,72.07,5.08
303,Goderich,100,CA,1563590239,86,43.74,-81.71,80.01,7.0
304,Lalmohan,56,BD,1563590239,65,22.34,90.74,88.99,9.04
305,Ottawa,20,CA,1563590176,78,45.42,-75.69,81.0,6.93
306,Danielskuil,0,ZA,1563590240,96,-28.19,23.54,35.53,8.16
307,Rio Branco do Sul,90,BR,1563590240,93,-25.19,-49.31,55.99,4.7
308,Tigil,99,RU,1563590240,66,57.8,158.67,68.47,22.26
309,Prainha,33,BR,1563590241,81,-1.8,-53.48,74.95,3.11
310,Rakai,84,UG,1563590241,68,-0.71,31.4,66.49,2.55
311,Yagodnoye,100,RU,1563590242,93,62.52,149.63,39.13,7.43
312,Tiznit,78,MA,1563590242,94,29.7,-9.73,66.85,8.3
313,Palmer,0,AU,1563590243,42,-34.85,139.16,68.0,23.04
314,Surgut,0,RU,1563590243,78,61.25,73.4,73.4,4.47
315,Taranagar,0,IN,1563590243,56,28.67,75.04,89.35,4.21
316,Gao,100,ML,1563590244,45,16.28,-0.04,85.21,21.59
317,Itapaci,0,BR,1563590244,40,-14.95,-49.55,70.81,13.56
318,Ranong,75,TH,1563590244,100,9.96,98.62,78.8,3.36
319,Markivka,0,UA,1563590245,85,49.52,39.57,61.09,4.65
320,Kodiak,20,US,1563590245,62,39.95,-94.76,89.6,12.75
321,Moron,31,HT,1563590245,77,18.56,-74.26,80.89,3.53
322,Girardot,75,CO,1563590246,69,4.31,-74.8,75.2,5.82
323,Tabou,100,CI,1563590246,94,4.42,-7.36,73.15,6.11
324,Knysna,98,ZA,1563590247,81,-34.04,23.05,44.6,11.41
325,Norrtalje,0,SE,1563590247,93,59.76,18.7,55.99,2.24
326,Los Llanos de Aridane,90,ES,1563590247,64,28.66,-17.92,73.4,20.8
327,Byron Bay,1,AU,1563590248,55,-28.65,153.62,73.0,4.7
328,Airai,0,TL,1563590248,43,-8.93,125.41,84.31,4.32
329,Cape Coast,100,GH,1563590248,90,5.11,-1.24,75.49,11.43
330,Balkhash,0,KZ,1563590249,26,46.84,74.98,78.8,22.37
331,Honggang,67,CN,1563590249,64,29.51,114.87,87.19,4.65
332,Brae,100,GB,1563590250,93,60.4,-1.35,57.2,17.22
333,Santa Fe,0,AR,1563590040,83,-31.62,-60.7,61.0,5.01
334,Turtas,0,RU,1563590250,48,58.94,69.13,75.31,2.53
335,Fortuna,40,US,1563590251,67,40.6,-124.16,62.01,13.87
336,Saskylakh,98,RU,1563590251,35,71.97,114.09,69.73,15.59
337,Prince Rupert,90,CA,1563589991,82,54.32,-130.32,60.8,3.36
338,Bull Savanna,1,JM,1563590252,73,17.89,-77.59,84.13,8.99
339,Chodavaram,90,IN,1563590252,94,17.44,81.78,80.6,5.82
340,Grindavik,75,IS,1563590252,93,63.84,-22.43,53.01,10.29
341,Fukue,75,JP,1563590253,83,35.03,136.69,86.0,9.17
342,Tuatapere,100,NZ,1563590170,97,-46.13,167.69,48.99,8.99
343,Salinas,90,US,1563590253,72,36.67,-121.66,66.99,13.87
344,Amahai,66,ID,1563590254,86,-3.31,129.0,77.65,12.33
345,Lagunillas,100,VE,1563590254,75,8.5,-71.39,66.31,8.3
346,Perez,94,PH,1563590255,53,14.19,121.92,89.53,3.53
347,Constitucion,90,MX,1563590255,72,23.99,-104.67,62.6,7.14
348,Mocuba,0,MZ,1563590255,87,-16.84,36.99,61.09,5.21
349,Windsor,1,US,1563590088,61,42.3,-83.03,81.0,8.03
350,Kilinochchi,11,LK,1563590256,72,9.4,80.4,83.59,13.27
351,Port Hardy,75,CA,1563590257,77,50.7,-127.42,60.8,8.05
352,Sarakhs,0,TM,1563590257,34,36.54,61.16,80.6,10.49
353,Olinda,0,AU,1563590257,62,-37.84,145.39,63.0,23.04
354,Vila do Maio,75,CV,1563590258,73,15.13,-23.22,77.0,12.75
355,La Tuque,43,CA,1563590258,77,47.44,-72.79,67.21,2.62
356,Novobirilyussy,0,RU,1563590259,51,56.95,90.69,67.21,8.19
357,Nantucket,90,US,1563590259,94,41.28,-70.1,75.2,11.41
358,Kurilsk,100,RU,1563590259,89,45.23,147.88,58.21,4.74
359,Lavrentiya,100,RU,1563590260,70,65.58,-170.99,59.83,10.56
360,Great Bend,1,US,1563590260,48,38.36,-98.78,89.6,12.75
361,Chara,0,GR,1563590261,82,39.42,22.43,73.0,1.3
362,Lerwick,100,GB,1563590261,93,60.15,-1.15,57.2,9.17
363,Saint Anthony,1,US,1563590261,31,43.97,-111.68,75.2,16.11
364,Huarmey,0,PE,1563590262,88,-10.07,-78.15,61.81,10.02
365,Llata,0,PE,1563590262,94,-9.55,-76.82,33.19,2.01
366,Havelock,1,US,1563590074,74,34.88,-76.9,84.2,11.41
367,Ardesen,75,TR,1563590263,94,41.19,40.99,69.8,6.93
368,Boleslawiec,59,PL,1563590263,94,51.26,15.57,60.01,4.65
369,Leh,0,IN,1563590263,35,34.16,77.58,43.45,3.06
370,College,90,US,1563590264,46,64.86,-147.8,69.8,10.29
371,Zhangye,98,CN,1563590264,22,38.94,100.46,78.01,3.18
372,Realeza,33,BR,1563590264,94,-25.77,-53.53,55.69,3.36
373,Porto Novo,0,BR,1563590265,87,-23.68,-45.44,57.2,2.24
374,Hoopstad,0,ZA,1563590265,91,-27.83,25.91,38.59,8.05
375,Dongsheng,42,CN,1563590265,64,29.72,112.52,88.99,2.33
376,Komsomolskiy,25,RU,1563590266,74,67.55,63.78,62.17,7.45
377,Podor,12,MR,1563590266,62,16.65,-14.96,78.91,11.01
378,Broken Hill,0,AU,1563590267,29,-31.97,141.45,62.6,19.46
379,Port Hedland,24,AU,1563590267,26,-20.31,118.58,78.8,5.82
380,Siocon,96,PH,1563590268,69,11.03,124.04,86.83,2.46
381,Klyuchi,100,RU,1563590268,87,52.25,79.17,66.31,6.2
382,Vila Franca do Campo,75,PT,1563590269,100,37.72,-25.43,69.8,10.29
383,Safford,1,US,1563590269,14,32.83,-109.71,98.6,18.34
384,Gavle,19,SE,1563590269,94,60.67,17.14,55.0,1.57
385,Vestmanna,70,FO,1563590270,100,62.16,-7.17,50.0,8.05
386,Hvide Sande,100,DK,1563590270,93,56.01,8.13,59.0,4.7
387,Beidao,10,CN,1563590270,49,34.57,105.89,73.69,3.15
388,Lompoc,40,US,1563590104,77,34.64,-120.46,66.99,11.41
389,Sao Miguel do Araguaia,2,BR,1563590271,40,-13.28,-50.16,74.41,7.14
390,Norman Wells,75,CA,1563590271,39,65.28,-126.83,80.6,4.7
391,Waingapu,8,ID,1563590272,57,-9.65,120.26,81.97,12.15
392,Corinth,20,GR,1563590272,49,37.94,22.93,77.0,5.82
393,Ketchikan,40,US,1563590142,63,55.34,-131.65,64.4,13.87
394,Oistins,40,BB,1563590273,78,13.07,-59.53,80.6,12.75
395,Kirensk,15,RU,1563590273,40,57.78,108.12,68.65,15.79
396,Kieta,100,PG,1563590273,82,-6.22,155.63,78.91,7.87
397,Daru,81,PG,1563590274,66,-9.07,143.21,79.45,11.5
398,Akcakoca,0,TR,1563590274,84,41.09,31.12,61.99,1.9
399,Kill,75,IE,1563590274,100,53.25,-6.59,59.0,8.05
400,Bela,3,PK,1563590275,70,26.23,66.31,79.81,5.41
401,Balkanabat,0,TM,1563590275,61,39.51,54.36,82.33,9.31
402,Qostanay,75,KZ,1563590089,47,53.17,63.58,77.0,9.35
403,Vagur,100,FO,1563590276,92,61.47,-6.81,50.83,13.2
404,Te Anau,99,NZ,1563590276,82,-45.41,167.72,44.53,4.74
405,Touros,75,BR,1563590277,94,-5.2,-35.46,73.4,9.17
406,Champerico,90,MX,1563590277,77,16.38,-93.6,69.8,23.04
407,Geraldton,75,CA,1563590277,60,49.72,-86.95,73.4,9.17
408,Matara,20,BI,1563590278,88,-3.48,29.48,49.93,2.73
409,Piritiba,55,BR,1563590279,98,-11.73,-40.56,59.47,5.46
410,Tabora,20,TZ,1563590279,77,-5.02,32.81,62.6,5.82
411,Turka,100,RU,1563590279,94,52.95,108.22,46.87,3.2
412,Codrington,0,AU,1563590280,52,-28.95,153.24,66.2,4.7
413,Trincomalee,40,LK,1563590280,52,8.58,81.23,87.37,10.87
414,Isiro,97,CD,1563590280,99,2.77,27.62,65.95,0.69
415,Nemuro,75,JP,1563590281,100,43.32,145.57,64.4,4.7
416,Isangel,75,VU,1563590281,50,-19.55,169.27,78.8,13.87
417,Jubbal,75,IN,1563590282,83,31.11,77.67,69.8,2.93
418,Mizdah,0,LY,1563590282,70,31.45,12.98,66.31,7.29
419,Maniitsoq,100,GL,1563590283,92,65.42,-52.9,43.09,5.91
420,Vestmannaeyjar,37,IS,1563590283,86,63.44,-20.27,52.63,8.28
421,Bilokurakyne,0,UA,1563590283,86,49.53,38.74,60.91,3.65
422,Yar-Sale,94,RU,1563589986,58,66.83,70.83,73.69,3.58
423,Tura,0,RU,1563590284,37,64.27,100.22,64.33,13.91
424,Iqaluit,75,CA,1563590262,93,63.75,-68.52,42.8,9.17
425,Plyussa,100,RU,1563590284,98,58.42,29.37,57.13,8.3
426,Kushikino,75,JP,1563590285,74,31.72,130.27,82.4,11.41
427,Nabire,56,ID,1563590285,60,-3.36,135.5,85.21,3.98
428,Morant Bay,20,JM,1563590286,58,17.88,-76.41,86.0,14.99
429,Vaitape,10,PF,1563590286,79,-16.52,-151.75,76.39,19.06
430,Tanabe,75,JP,1563590287,79,33.73,135.39,84.2,9.17
431,Astara,40,AZ,1563590287,50,38.42,48.87,77.0,6.93
432,Pangai,75,TO,1563590287,78,-19.8,-174.35,80.6,10.29
433,Altamira,0,BR,1563590288,77,-3.2,-52.21,72.43,2.73
434,Matay,0,EG,1563590288,66,28.42,30.79,74.59,13.49
435,Comodoro Rivadavia,0,AR,1563590289,48,-45.87,-67.48,44.6,19.46
436,Atasu,0,KZ,1563590289,34,48.68,71.64,77.47,7.58
437,Taoudenni,0,ML,1563590289,14,22.68,-3.98,94.75,11.97
438,Isabela,46,PH,1563590290,74,10.2,122.99,83.05,5.5
439,Mandalgovi,0,MN,1563590290,30,45.76,106.27,77.29,7.76
440,Gondanglegi,94,ID,1563590290,60,-7.75,112.01,84.49,10.51
441,Edd,33,ER,1563590291,45,13.93,41.69,85.93,0.27
442,Lazaro Cardenas,40,MX,1563590291,25,28.39,-105.62,87.8,6.93
443,Zhigansk,53,RU,1563590240,39,66.77,123.37,62.71,14.58
444,Mayumba,19,GA,1563590292,91,-3.44,10.65,70.99,3.2
445,Altay,7,CN,1563590292,45,47.83,88.13,63.61,5.95
446,Nouadhibou,0,MR,1563590292,77,20.93,-17.03,68.0,20.8
447,Glossa,20,GR,1563590293,73,35.47,23.78,78.01,4.7
448,Poiares,0,PT,1563590293,58,41.06,-6.86,67.03,2.42
449,Itarema,11,BR,1563590294,86,-2.92,-39.92,74.41,6.98
450,Neiafu,75,TO,1563590294,83,-18.65,-173.98,80.6,4.7
451,Okhotsk,0,RU,1563590294,36,59.36,143.24,69.73,17.96
452,Pittsburg,1,US,1563590268,52,38.02,-121.89,75.2,17.22
453,Monastyrshchina,0,RU,1563590295,91,54.35,31.84,52.99,9.26
454,Zelenogorskiy,90,RU,1563590296,100,55.03,87.0,64.4,6.71
455,Qaqortoq,22,GL,1563590296,81,60.72,-46.03,50.0,2.26
456,Esil,4,KZ,1563590296,39,51.96,66.41,82.33,4.07
457,Jijiga,68,ET,1563590297,90,9.35,42.8,56.77,7.43
458,Port Macquarie,0,AU,1563590297,37,-31.43,152.91,69.01,5.82
459,Awbari,0,LY,1563590298,25,26.59,12.77,78.73,10.04
460,Bayir,0,TR,1563590298,72,37.27,28.22,68.0,2.24
461,Kungurtug,0,RU,1563590298,48,50.6,97.53,66.13,4.45
462,Viedma,92,AR,1563590299,51,-40.81,-62.99,47.77,13.06
463,Saldanha,0,PT,1563590299,77,41.42,-6.55,63.61,2.71
464,Nyaunglebin,81,MM,1563590300,75,17.95,96.73,85.03,3.15
465,Ambovombe,0,MG,1563590300,76,-25.18,46.09,68.11,10.74
466,Santa Maria,0,BR,1563590301,63,-16.02,-48.01,60.8,8.05
467,Lugovoy,1,RU,1563590301,77,59.72,65.88,72.43,6.44
468,Ibra,0,OM,1563590301,49,22.69,58.55,85.21,3.96
469,Bonthe,100,SL,1563590302,91,7.53,-12.5,74.95,8.03
470,Polovinnoye,79,RU,1563590302,68,54.79,65.99,72.43,3.76
471,Rio Cuarto,0,AR,1563590302,66,-33.13,-64.35,48.2,5.82
472,Ulladulla,0,AU,1563590303,45,-35.36,150.48,64.99,10.29
473,Goure,100,NE,1563590303,49,13.98,10.27,83.95,8.5
474,Atar,0,MR,1563590304,17,20.52,-13.05,88.45,3.85
475,Poum,0,MK,1563590304,87,41.28,20.71,53.6,3.36
476,Amuntai,0,ID,1563590304,48,-2.42,115.25,94.57,0.47
477,Charters Towers,0,AU,1563590305,34,-20.07,146.27,68.65,9.91
478,Suntar,0,RU,1563590305,39,62.16,117.65,65.05,7.92
479,Oussouye,100,SN,1563590305,79,12.49,-16.54,76.39,12.12
480,Jawhar,34,IN,1563590306,80,19.91,73.23,81.79,2.8
481,Coihueco,100,CL,1563590306,93,-36.63,-71.83,46.4,3.36
482,Villa Carlos Paz,0,AR,1563590306,66,-31.42,-64.5,55.99,9.17
483,Kiunga,100,PG,1563590307,92,-6.12,141.3,74.77,2.98
484,Port Hawkesbury,75,CA,1563590307,59,45.62,-61.36,64.4,3.36
485,Deputatskiy,95,RU,1563590308,52,69.3,139.9,47.05,2.68
486,Marsabit,0,KE,1563590308,61,2.34,37.99,72.07,15.01
487,Jennings,0,AU,1563590308,49,-28.93,151.93,57.99,1.01
488,Wanning,35,AT,1563590309,77,48.64,13.53,64.0,1.12
489,Marawi,28,PH,1563590309,77,8.0,124.29,84.99,5.01
490,Magole,35,TZ,1563590309,96,-6.37,37.37,54.97,1.01
491,Charyshskoye,46,RU,1563590310,81,51.4,83.56,63.61,3.58
492,Flin Flon,40,CA,1563590310,74,54.77,-101.88,60.37,9.86
493,Rio Grande,98,BR,1563590025,93,-32.03,-52.1,60.01,4.7
494,Melito di Porto Salvo,20,IT,1563590311,73,37.92,15.77,75.2,2.24
495,Alindao,100,CF,1563590311,94,5.04,21.21,68.11,5.77
496,San Quintin,100,PH,1563590311,75,17.54,120.52,84.49,8.21
497,Zhuanghe,8,CN,1563590312,61,39.7,122.97,85.39,11.83
498,Nuzvid,90,IN,1563590312,94,16.79,80.85,78.8,5.82
499,Raudeberg,44,NO,1563590312,93,61.99,5.14,55.4,5.82
500,Amapa,90,HN,1563590313,88,15.09,-87.97,80.6,8.05
501,Okha,100,RU,1563590313,92,53.59,142.95,60.91,5.46
502,Predivinsk,0,RU,1563590313,52,57.07,93.44,64.51,10.16
503,Hay River,40,CA,1563590314,63,60.82,-115.79,60.8,6.93
504,Santiago,100,PH,1563590043,61,16.69,121.54,87.73,4.09
505,Bintulu,75,MY,1563590107,74,3.17,113.03,87.8,3.36
506,Korsakovo,4,RU,1563590315,90,53.27,37.36,53.89,9.91
507,Angren,0,UZ,1563590315,13,41.01,70.08,85.39,4.09
508,Tutoia,68,BR,1563590315,91,-2.76,-42.27,71.53,0.94
509,Kodinsk,100,RU,1563590316,77,58.6,99.18,54.61,12.01
510,Massakory,100,TD,1563590316,72,13.0,15.73,80.71,7.63
511,Flinders,0,AU,1563590316,45,-34.58,150.85,64.99,10.29
512,Zhuhai,40,CN,1563590317,73,40.71,112.04,73.4,4.47
513,Takoradi,100,GH,1563590317,91,4.89,-1.75,74.05,5.82
514,Atbasar,60,KZ,1563590317,51,51.81,68.36,78.01,4.29
515,Lorengau,49,PG,1563590318,80,-2.02,147.27,82.69,10.71
516,Santa Rosa,31,AR,1563590245,49,-36.62,-64.29,49.21,6.29
517,Zheleznodorozhnyy,90,RU,1563590319,87,55.75,38.0,60.8,6.71
518,Krasnokamensk,99,RU,1563590319,62,50.1,118.04,75.85,8.75
519,Namatanai,81,PG,1563590319,80,-3.66,152.44,81.25,14.85
520,Gushikawa,90,JP,1563590320,74,26.35,127.87,87.8,19.46
521,Lufilufi,75,WS,1563590320,74,-13.87,-171.6,84.2,4.7
522,Nanning,40,CN,1563590321,74,22.83,108.3,86.0,2.24
523,Hirna,24,ET,1563590321,89,9.22,41.1,56.59,1.32
524,Ust-Koksa,79,RU,1563590322,67,50.27,85.62,58.39,2.77
525,Chernyshevskiy,0,RU,1563590322,37,63.01,112.47,64.15,10.69
526,Batticaloa,86,LK,1563590322,51,7.71,81.69,87.19,14.34
527,Tual,7,ID,1563590323,85,-5.67,132.75,77.83,18.39
528,Libato,93,PH,1563590323,76,13.82,121.33,88.0,1.99
529,Nizhniy Kuranakh,51,RU,1563590323,40,58.84,125.49,61.27,7.07
530,Gewane,16,ET,1563590324,48,10.16,40.66,82.15,9.33
531,Marsh Harbour,11,BS,1563590324,72,26.54,-77.06,84.49,11.9
532,Yangjiang,28,CN,1563590324,67,21.85,111.96,91.0,4.34
